'{'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,6,6,6,6,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,6,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,24,24,3,3,3,24,24,24,24,24,24,24,24,0,0,0},
'{0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0},
'{0,0,0,0,0,0,24,24,25,25,25,25,24,24,24,3,3,3,3,3,3,3,3,0},
'{0,0,0,0,0,24,24,25,25,25,3,24,24,24,25,24,25,24,25,24,0,0,0,0},
'{0,0,0,0,24,24,25,25,25,25,3,3,24,25,25,24,25,24,25,24,0,0,0,0},
'{0,0,0,0,0,24,24,25,25,25,3,24,24,24,25,24,25,24,25,24,0,0,0,0},
'{0,0,0,0,0,0,24,24,25,25,25,25,24,24,24,3,3,3,3,3,3,3,3,0},
'{0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0},
'{0,0,0,0,0,0,0,0,24,24,3,3,3,24,24,24,24,24,24,24,24,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,6,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,6,6,6,6,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}}
