'{'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,0,0,0,0,0},
'{0,0,0,0,0,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,0,0,0,0,0},
'{0,0,0,0,21,23,23,23,23,21,21,21,0,0,0,0,0,0,0,20,20,21,21,23,23,23,23,21,21,0,0,0},
'{3,3,3,3,21,21,21,21,21,21,21,21,21,0,0,0,0,0,20,20,20,21,21,21,0,0,0,0,21,0,0,0},
'{0,0,3,3,20,20,20,20,20,20,21,21,21,21,21,20,20,20,20,3,20,21,21,21,0,0,21,21,21,21,0,0},
'{0,0,3,20,22,22,22,22,22,20,21,21,21,21,21,20,20,20,20,3,20,20,21,21,21,21,21,21,21,3,3,0},
'{0,0,3,20,22,22,22,22,22,20,21,21,21,21,21,20,19,20,20,20,20,20,20,25,25,25,25,25,25,3,3,0},
'{0,0,3,20,22,22,22,22,22,20,21,21,21,21,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,3,0},
'{0,0,3,20,22,22,22,22,22,20,21,21,21,21,19,19,19,20,20,20,20,20,19,19,19,19,19,19,19,20,3,0},
'{0,0,3,20,22,22,22,22,22,20,21,21,21,21,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,3,0},
'{0,0,3,20,22,22,22,22,22,20,21,21,21,21,21,20,19,20,20,20,20,20,20,25,25,25,25,25,25,3,3,0},
'{0,0,3,20,22,22,22,22,22,20,21,21,21,21,21,20,20,20,20,3,20,20,21,21,21,21,21,21,21,3,3,0},
'{0,0,3,3,20,20,20,20,20,20,21,21,21,21,21,20,20,20,20,3,20,21,21,21,0,0,21,21,21,21,0,0},
'{3,3,3,3,21,21,21,21,21,21,21,21,21,0,0,0,0,0,20,20,20,21,21,21,0,0,0,0,21,0,0,0},
'{0,0,0,0,21,23,23,23,23,21,21,21,0,0,0,0,0,0,0,20,20,21,21,23,23,23,23,21,21,0,0,0},
'{0,0,0,0,0,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,0,0,0,0,0},
'{0,0,0,0,0,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
'{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}}
